"char","idx","ipa","type","Examples",
"a",23,"a","vowel","ratata",
"b",1,"b","consonant","b",
"d",3,"d","consonant","d    din     dIn",
"E",25,"ɛ","vowel","E   pet      pEt",
"e",32,"e","vowel","e    raise     rez",
"f",6,"f","consonant","f    fin      fIn",
"g",5,"g","consonant","G   give     gIv",
"h",14,"h","consonant","h    hit     hIt",
"I",24,"ɪ","vowel","I    pit      pIt",
"i",31,"i","vowel","i     ease     iz",
"j",22,"j","Semi-vowel","j    yacht    jAt",
"k",4,"k","consonant","k    kin     kIn",
"l",19,"l","consonant","l    long    lON",
"m",15,"m","consonant","m   mock   mAk",
"n",16,"n","consonant","n   knock   nAk",
"N",17,"ŋ","consonant","N   thing   TIN",
"{",26,"æ","vowel","{    pat      p{t",
"}",27,"ʉ","vowel","boot (california)",
"A",28,"ɑ","vowel","A    pot     pAt",
"o",34,"o","vowel","o    nose    noz",
"O",35,"ɔ","vowel","O    cause   kOz",
"p",0,"p","consonant","p",
"r",18,"r","consonant","r   wrong   rON",
"s",10,"s","consonant","s     sin     sIn",
"S",12,"ʃ","consonant","S    shin    Sin",
"t",2,"t","consonant","t     tin     tIn",
"T",8,"θ","consonant","T    thin    Tin",
"u",33,"u","vowel","u    lose     luz",
"U",30,"ʊ","vowel","U    put     pUt",
"v",7,"v","consonant","v    vim    vIm",
"w",21,"w","Semi-vowel","w   wasp    wAsp",
"x",20,"x","consonant","groot (dutch)",
"z",11,"z","consonant","z     zing   zIN",
"Z",13,"ʒ","consonant","Z    measure",
"Q",37,"ɒ","vowel","hot",
"c",38,"æ","vowel","timbre",
"q",39,"ɑ̃","vowel","detente",
0,40,"æ̃","vowel","lingerie",
"(",41,"ɒ̃","vowel","bouillon","anciennement ~, remplacé car ~ utilisé pour autre chose"
"V",29,"ʌ","vowel","V    cut     kVt",
"L",43,,,,
"J",44,,,,
"R",45,,,,
"y",,,,,
"#",46,"_","end","end character",
