0.85,0.02,0.02,0.01,0.02,0.01,0.01,0,0,0,0.02,0.01,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.77,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0,0.01,0,0.01,0.01,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.01,0.88,0.02,0.02,0.01,0,0.01,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.02,0.02,0.8,0.01,0.02,0.01,0.02,0.01,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.01,0.02,0.01,0.88,0.02,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.02,0.01,0.02,0.02,0.8,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.02,0,0.01,0,0.01,0.79,0.02,0.02,0.01,0.01,0.02,0,0.01,0,0.01,0.01,0.01,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0.01,0.02,0,0.01,0.02,0.82,0.02,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0.01,0,0.01,0.02,0.02,0.83,0.01,0,0.01,0,0.01,0,0.01,0.02,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.81,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.01,0.01,0,0.01,0,0.01,0,0,0.01,0.84,0.02,0.02,0.01,0.02,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.02,0,0.01,0,0.01,0.02,0.01,0.01,0.02,0.02,0.76,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0.01,0,0.01,0,0,0,0,0.01,0.02,0.01,0.87,0.02,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.79,0.01,0.02,0.01,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0.01,0,0.01,0,0,0,0,0.01,0.02,0.01,0.02,0.01,0.88,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.8,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0.01,0,0.01,0.01,0.01,0.02,0.01,0,0.01,0,0.01,0,0.01,0.84,0.02,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0.01,0.02,0.83,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.82,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.02,0,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0,0.01,0,0.01,0.02,0.02,0.01,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.74,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.03,0.02,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.73,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.76,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0.02,0.02,0.73,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.02,0.02,0.03,0.72,0.03,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03,0.03,0.71,0.03,0.02,0.02,0.03,0.01,0.02,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.79,0.02,0.02,0.03,0,0.01,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.78,0.03,0.03,0,0,0.02,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.03,0.77,0.03,0.01,0,0.02,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.76,0,0.01,0.02,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0,0,0.01,0,0.82,0.03,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0,0,0.01,0.03,0.81,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.87,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
